Investor Name;Investor Name URL;Number of Investments;Number of Exited Companies;Location;Investor Type;Description;Website;Twitter;Facebook;LinkedIn;Number of Portfolio Companies;Number of Lead Investments;Program Duration;Next Application Deadline;Program Type
Rivet Ventures;https://www.crunchbase.com/organization/rivet-ventures;5;;San Francisco, California, United States;Micro VC;Rivet Ventures invests in companies in women-led markets where female usage, decision-making, and purchasing are crucial to compan;http://www.rivetventures.com/index.html;;;;4;;;;
Riverwood Capital;https://www.crunchbase.com/organization/riverwood-capital;25;8;Menlo Park, California, United States;Private Equity Firm;Riverwood Capital is a leading growth stage technology investment firm;http://www.riverwoodcapital.com;;;https://www.linkedin.com/company/riverwood-capital;19;21;;;
Riverhorse Investments;https://www.crunchbase.com/organization/riverhorse-investments;2;;Los Angeles, California, United States;Venture Capital;Riverhorse Investments is a venture capital firm based in Los Angeles, California.;http://www.riverhorse.net;;;;2;1;;;
Rivenrock Capital;https://www.crunchbase.com/organization/rivenrock-capital;1;1;Los Angeles, California, United States;Private Equity Firm;Rivenrock Capital provides investment management services.;http://www.rivenrockcapital.com;;;;1;;;;
Rising Tide;https://www.crunchbase.com/organization/rising-tide-fund;15;1;Menlo Park, California, United States;Venture Capital;Rising Tide is a Silicon Valley-based venture capital firm funding entrepreneurs that help carry the foundersâ€™ visions.;http://rtf.vc/;http://twitter.com/RisingTideFund;;http://www.linkedin.com/company/newbury-ventures;14;4;;;
Rise Capital;https://www.crunchbase.com/organization/rise-capital;5;;San Francisco, California, United States;Micro VC;Rise Capital is a global investment firm that focuses on making expansion-stage investments in Internet businesses in Emerging Markets.;http://risecapital.com;https://www.twitter.com/rise_capital;;;5;2;;;
Riordan; Lewis & Haden Equity Partners;https://www.crunchbase.com/organization/riordan-lewis-haden-equity-partners;3;;Los Angeles, California, United States;Venture Capital;Riordan, Lewis & Haden is a leading private equity firm based in Southern California.;http://www.rlhequity.com;;;;3;2;;
Rincon Venture Partners;https://www.crunchbase.com/organization/rincon-venture-partners;60;9;Santa Barbara, California, United States;Venture Capital;Rincon is an early-stage venture capital firm targeting investment opportunities in web-based businesses.;http://www.rinconvp.com;https://twitter.com/rinconvp;;;36;19;;;
RightVentures;https://www.crunchbase.com/organization/rightventures;21;5;San Francisco, California, United States;Venture Capital;RightVentures is a California-based investment firm focused on digital entrepreneurs.;http://www.rightventures.com/;http://twitter.com/RightVentures;http://www.facebook.com/pages/RightVentures/192299904183982;;21;;;;
Right Side Capital Management;https://www.crunchbase.com/organization/right-side-capital-management;574;42;San Francisco, California, United States;Micro VC;Right Side Capital Management invests in capital-efficient, seed-stage technology startups across the U.S. in every technology sector.;http://www.rightsidecapital.com;;;;534;1;;;
Ridge Ventures;https://www.crunchbase.com/organization/ridge-ventures;1;1;Burlingame, California, United States;Venture Capital;Ridge Ventures invests exclusively in West coast, typically Silicon Valley-based, companies.;http://www.ridgeventures.com;;;;1;;;;
Ricoh Ventures;https://www.crunchbase.com/organization/ricoh-ventures;1;;Cupertino, California, United States;Venture Capital;Ricoh ventures runs ricoh innovation bridge, a business creation program;http://www.ricohventures.com/;;;;1;1;;;
Ribbit Capital;https://www.crunchbase.com/organization/ribbit-capital;50;1;Palo Alto, California, United States;Venture Capital;Ribbit Capital is a venture capital firm.;http://ribbitcap.com;https://twitter.com/RibbitCapital;;;31;17;;;
Rho West;https://www.crunchbase.com/organization/rho-west;7;;Santa Monica, California, United States;Venture Capital;Rho West is a venture capital firm that specializes in seed- and early-stage venture investments.;;;;;7;;;;
RGB Capital;https://www.crunchbase.com/organization/rgb-capital;1;;San Diego, California, United States;Venture Capital;RGB Capital is an investment firm that manages financial risk and conserves capital.;http://www.rgbcapitalgroup.com;;;;1;;;;
RezVen Partners;https://www.crunchbase.com/organization/rezven-partners;2;;Newport Beach, California, United States;Venture Capital;RezVen Partners specializes in investments in early stage companies based in the technology industry.;http://www.rezven.com;;;;2;1;;;
Revolution Ventures;https://www.crunchbase.com/organization/revolution-ventures;13;6;La Jolla, California, United States;Venture Capital;Revolution Ventures is a La Jolla CA based company that is not associated with Revolution LLC.;http://www.revolution.com;;;;10;3;;;
Retro Venture Partners;https://www.crunchbase.com/organization/retro-venture-partners;4;;Menlo Park, California, United States;Venture Capital;Retro Venture Partners is a California-based investment advisory firm that provides startups in Bay Area with early stage funds.;http://www.retrovp.com;;;;2;1;;;
Rembrandt Venture Partners;https://www.crunchbase.com/organization/rembrant-venture-partners;98;27;San Francisco, California, United States;Venture Capital;We bring an operational perspective to our investments, recognizing that growth is not without significant challenges and building businesse;http://www.rembrandtvc.com;https://www.twitter.com/rembrandtvc;https://www.facebook.com/rembrandtventurepartners?fref=ts;https://www.linkedin.com/company/121683?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A121683%2Cidx%3A1-1-1%2CtarId%3A1442949066541%2Ctas%3ARembrandt%20Venture%20Partners;54;27;;;
Relay Ventures;https://www.crunchbase.com/organization/relay-ventures;111;24;Menlo Park, California, United States;Venture Capital;Relay Ventures is a Canadian venture capital firm focused on investing in early-stage mobile ventures throughout North America.;http://relayventures.com;http://twitter.com/relayventures;http://www.facebook.com/RelayVentures;http://www.linkedin.com/company/relay-ventures;60;30;;;
Relay Foundation;https://www.crunchbase.com/organization/relay-foundation;;;San Francisco, California, United States;Micro VC;The Relay Foundation empowers students ages 17-25 throughout the San Francisco Bay Area.;http://relayfoundation.org;http://twitter.com/RelayFdn;http://www.facebook.com/TheRelayFoundation;;;;;;
Relational Investors LLC.;https://www.crunchbase.com/organization/relational-investors-llc;1;1;San Diego, California, United States;Private Equity Firm;Relational Investors is a privately owned asset management firm.;http://www.rillc.com;;;;1;1;;;
reinmkr capital;https://www.crunchbase.com/organization/reinmkr-inc;11;2;Marina Del Rey, California, United States;Angel Group;Reinmkr Capital is an American seed- and early-stage venture capital fund that invests in high frequency companies and products.;http://www.reinmkr.com;http://twitter.com/reinmkrinc;;;10;;;;
Regent Equity Partners;https://www.crunchbase.com/organization/regent-equity-partners-2;;;Los Angeles, California, United States;Venture Capital;Regent Equity Partner is a California-based private equity firm.;http://www.regentequity.com/;;;;;;;;
Refactor Capital;https://www.crunchbase.com/organization/refactor-capital;6;;Burlingame, California, United States;Venture Capital;Early-stage venture capital firm, co-founded by David Lee of SV Angel.;http://www.refactor.com;https://www.twitter.com/refactor;;;5;1;;;
Redwood Venture Partners;https://www.crunchbase.com/organization/redwood-venture-partners;13;2;Los Altos, California, United States;Venture Capital;Redwood Venture Partners is a California-based company focused on startups, and early- and middle-stage emerging market investments.;http://www.redwoodvp.com;;;;11;4;;;
Redpoint;https://www.crunchbase.com/organization/redpoint-ventures;459;89;Menlo Park, California, United States;Venture Capital;Redpoint helps entrepreneurs build innovative businesses that defy convention & shape the future.;http://redpoint.com;http://twitter.com/redpointvc;http://www.facebook.com/RedpointVC;http://www.linkedin.com/company/redpointventures;247;127;;;
Redleaf Group;https://www.crunchbase.com/organization/redleaf-group;14;3;Saratoga, California, United States;Venture Capital;Redleaf Group is a venture capital firm, which provides services and capital for pre-seed and seed-stage technology companies.;http://www.redleaf.com;;;;9;7;;;
Reddy Capital;https://www.crunchbase.com/organization/reddy-capital;3;;Los Angeles, California, United States;Venture Capital;Reddy Capital is a Los Angeles-based venture capital firm that offers early stage investment services.;;;;;1;1;;;
Red Rock Ventures;https://www.crunchbase.com/organization/red-rock-ventures;43;13;Palo Alto, California, United States;Venture Capital;Red Rock Ventures is a venture capital investment firm that invests in seed and early-stage information technology companies.;http://www.redrockventures.com;;;;29;10;;;
Red Mountain Capital Partners LLC;https://www.crunchbase.com/organization/red-mountain-capital-partners-llc;;;Los Angeles, California, United States;Private Equity Firm;Red Mountain's investment fund has owned more than 5% of each of the following companies, and has filed a Schedule 13D where applicable.;http://www.redmtncap.com;;;;;;;;
Red Eagle Ventures;https://www.crunchbase.com/organization/red-eagle-ventures;1;;San Francisco, California, United States;Micro VC;Red Eagle Ventures is a private equity firm based in San Francisco, California.;http://www.redeagleventures.com;;;;1;1;;;
Recruit Strategic Partners;https://www.crunchbase.com/organization/recruit-strategic-partners;32;3;San Mateo, California, United States;Venture Capital;Recruit Strategic Partners is a California-based venture capital firm that invests in innovative startups from all around the world.;http://recruitstrategicpartners.com;;;;30;6;;;
Recoleta Ventures;https://www.crunchbase.com/organization/recoleta-ventures;2;;San Francisco, California, United States;Venture Capital;Recoleta Venture Capital makes investments in early stage companies based in the Silicon Valley.;http://recoletavc.com;;;;2;;;;
Rebecca Moores Foundation;https://www.crunchbase.com/organization/rebecca-moores-foundation;1;;San Diego, California, United States;Venture Capital;Rebecca Moores Foundation;;;;;1;;;;
Reach Capital;https://www.crunchbase.com/organization/reach-capital;22;;Palo Alto, California, United States;Venture Capital;Reach Capital invests in early stage edtech startups.;http://reachcap.com/;https://twitter.com/reachfund;;https://www.linkedin.com/company/reach-capital;22;7;;;
Rancho Santa Fe Partners;https://www.crunchbase.com/organization/rancho-santa-fe-partners;1;;Santa Fe Springs, California, United States;Venture Capital;Rancho Santa Fe Partners was added in 2013.;;;;;1;;;;
Ranch Ventures;https://www.crunchbase.com/organization/ranch-ventures;1;;San Francisco, California, United States;Venture Capital;A progressive, seed stage investment firm that partners with technically ambitious companiesâ€‹ to help build the future.;http://www.ranch.vc/;;;;1;;;;
